ILE ROYAL GUIANA FR;5.4;0.2
DART 42429;5.1;0
DART 42409;4.9;0
PUERTO MORELOS MX;4.9;0.14
ISLA MUJERES;4.7;0.18
DART 41424;3.8;0.02
LIMON CR;3.6;0.69
GEORGE TOWN CY;3.5;0.12
EL PORVENIR PM;3.5;0.46
SAN ANDRES CO;3.3;0.45
SANTA MARTA CO;3.0;0.94
CAP HAITIEN HT;2.7;0.24
PARHAM AT;2.5;0.82
DART 41420;2.4;0.03
DART 41421;2.4;0.03
LAMESHURBAYSTJOHNVI;2.4;2.05
PUERTO PLATA DO;2.3;0.25
DESIRADE GUADELOUPE;2.2;0.96
SAN JUAN PR;2.2;0.41
JACMEL HT;2.3;1.47
CHARLOTTEVILLE TT;2.1;0.75
LE ROBERT MARTINIQU;2.0;1.16
BRIDGEPORT BB;1.9;0.78
PORT ST CHARLES BB;1.9;0.88
POINT A PITRE GP;1.9;4.3
PUNTA CANA DO;1.8;1.91
DESHAIES GUADELOUPE;1.7;3.03
ESPERANZA VIEQUES P;1.7;1.69
PORT SAN ANDRES DO;1.8;1.68
MAYAGUEZ PR;1.7;1.42
ROSEAU DM;1.7;2.74
LE PRECHEUR MARTINI;1.6;2.55
FORT DE FRANCE MQ;1.7;2.97
MONA ISLAND PR;1.6;1.38
CALLIAQUA VC;1.7;1.87
LIMETREE VI;1.6;2.42
ST CROIX VI;1.6;2.27
MAGUEYES ISLAND PR;1.6;1.38
PENUELAS PR;1.6;1.91
PRICKLEY BAY GD;1.4;1.76
BULLEN BAY CURACAO;1.2;2.18
DART 42407;1.1;0.22
PILOTS STATION LA;4.4;0.08
KEY WEST FL;3.9;0.2
TRIDENT PIER FL;3.9;1.26
DART 42429;3.3;0.01
LIMON CR;3.3;0.71
CHARLOTTEVILLE TT;3.2;0.28
DART 42409;3.2;0.01
PUERTO MORELOS MX;3.1;0.38
ISLA MUJERES;3.0;0.68
EL PORVENIR PM;2.9;0.87
PRICKLEY BAY GD;2.8;0.47
SAN ANDRES CO;2.9;0.57
CALLIAQUA VC;2.6;0.5
BRIDGEPORT BB;2.5;0.31
PORT ST CHARLES BB;2.4;0.31
SANTA MARTA CO;2.4;0.89
FORT DE FRANCE MQ;2.3;0.62
LE ROBERT MARTINIQU;2.2;0.31
ROSEAU DM;2.2;0.46
LE PRECHEUR MARTINI;2.2;0.54
BULLEN BAY CURACAO;2.2;0.89
POINT A PITRE GP;2.0;0.6
DART 41424;2.1;0.19
LAMESHURBAYSTJOHNVI;2.0;0.83
DESHAIES GUADELOUPE;2.0;0.62
PORT SAN ANDRES DO;1.9;1.14
PARHAM AT;1.8;0.42
DESIRADE GUADELOUPE;1.9;0.38
ESPERANZA VIEQUES P;1.7;0.73
GEORGE TOWN CY;1.7;0.47
LIMETREE VI;1.6;0.77
ST CROIX VI;1.5;0.8
DART 42407;1.5;0.07
JACMEL HT;1.5;0.78
MAGUEYES ISLAND PR;1.4;0.91
PENUELAS PR;1.4;0.94
DART 41421;1.3;0.19
MONA ISLAND PR;1.2;2.74
PUNTA CANA DO;1.1;3.47
SAN JUAN PR;1.0;2.03
MAYAGUEZ PR;1.1;3.55
DART 41420;0.9;0.24
PUERTO PLATA DO;0.4;15.27
CAP HAITIEN HT;0.2;17.74
